company_name,job_description,job_salary,job_type,job_classification,company_review,company_benefits,company_size,company_industry,job_location
UEM Edgenta Berhad,Chargeman A4 (Kamunting),No info for Job Salary,Contract/Temp,Electrical/Electronic Engineering (Engineering),4.2,"Medical
Miscellaneous allowance
Education support
Loans
Dental
Parking
Vision","1,001-5,000 employees",Construction,"Kamunting, Perak"
Vodapruf Sdn Bhd,Engineer Intern,"RM 800 - RM 1,200 per month",Contract/Temp,Mechanical Engineering (Engineering),No info for Company Review,No info for Company Benefits,11-50 employees,Construction,"Johor Bahru, Johor"
Celestica,Sr. Software Engineer (Firmware-SES),No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.2,"Medical
Dental
Parking","1,001-5,000 employees","Manufacturing, Transport & Logistics",Penang
Data Science,Senior Machine Learning Engineer -Trust and Fraud,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
TE Connectivity,Staff Antenna Design Engineer (Hardware),No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),3.9,"Medical
Dental
Parking
Vision
13th month salary, bridge toll, group insurance","101-1,000 employees",Consumer Electronics Manufacturing,Penang
SIA Engineering Company Ltd,Licensed Aircraft Engineer (BMM),No info for Job Salary,Full time,Aerospace Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Subang Jaya, Selangor"
ASJ Components (M) Sdn Bhd,ASSISTANT ENGINEER/ENGINEER,"RM 2,400 - RM 3,500 per month",Full time,Process Engineering (Engineering),3.7,"Medical
Dental
Parking","101-1,000 employees","Manufacturing, Transport & Logistics","Others, Johor"
3E PRECISION SDN BHD,Automation/Mechanical Design Engineer,"RM 5,000 - RM 7,500 per month",Full time,Mechanical Engineering (Engineering),No info for Company Review,KWSP/SOCSO/ANNUAL LEAVE,11-50 employees,"Manufacturing, Transport & Logistics","Johor Bahru, Johor"
Sternmaid Asia Pacific Sdn Bhd,INTERNSHIP - Engineering Maintenance,No info for Job Salary,Full time,Maintenance (Engineering),No info for Company Review,"Phone, Transport Allowances, Medical and Insurance","1,001-5,000 employees","Manufacturing, Transport & Logistics","Iskandar Puteri, Johor"
eLeaps Sdn Bhd,Renewable Energy Field Engineer,"RM 3,500 - RM 5,000 per month",Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Puchong, Selangor"
Celestica,Compliance Engineering Associate,No info for Job Salary,Full time,"Analysis & Reporting (Manufacturing, Transport & Logistics)",4.2,"Medical
Dental
Parking","1,001-5,000 employees","Manufacturing, Transport & Logistics",Penang
Encora Technologies Sdn Bhd,Cybersecurity Consultant,No info for Job Salary,Full time,Security (Information & Communication Technology),3.8,No info for Company Benefits,1-10 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
Huawei Technologies (Malaysia) Sdn. Bhd,Service Quality Analysis Engineer - GSRC,No info for Job Salary,Full time,Telecommunications (Information & Communication Technology),3.6,"Medical
Miscellaneous allowance
Insurance and etc.","1,001-5,000 employees",Telecommunications & Internet Service Providers,Kuala Lumpur
Celestica,"Senior Lead Engineer, Systems/Applications Design",No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.2,"Medical
Dental
Parking","1,001-5,000 employees","Manufacturing, Transport & Logistics",Penang
Celestica,"Lead Engineer, Manufacturing Process",No info for Job Salary,Full time,Process Engineering (Engineering),4.2,"Medical
Dental
Parking","1,001-5,000 employees","Manufacturing, Transport & Logistics","Kulim, Kedah"
Celestica,Sr. Software/Firmware Test Development Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.2,"Medical
Dental
Parking","1,001-5,000 employees","Manufacturing, Transport & Logistics",Penang
Encora Technologies Sdn Bhd,Java Developer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),3.8,No info for Company Benefits,1-10 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
Tribehired.com,Data Engineer (ETL),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
MAPA Gloves Sdn Bhd,Executive Process Engineering Improvement,No info for Job Salary,Full time,Process Engineering (Engineering),4.6,"Medical
Miscellaneous allowance
Loans
Dental
Parking
Vision
Retirement Benefits 4% to EPF","101-1,000 employees",Chemicals & Plastics Manufacturing,"Ipoh, Perak"
Knowles Electronics (M) Sdn. Bhd.,Failure Analysis & Reliability Technician/SR Technician/Assoc Engineer,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),3.8,"Medical
Miscellaneous allowance
Education support
Dental
Parking
Vision","1,001-5,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
Air Products Malaysia Sdn Bhd,Lead Mechanical Equipment Engineer,No info for Job Salary,Full time,Mechanical Engineering (Engineering),4,"Medical
Miscellaneous allowance
Education support
Loans
Dental","101-1,000 employees",Chemicals & Plastics Manufacturing,Kuala Lumpur
PacTech Asia Sdn Bhd,Senior Process Engineer (SMT),No info for Job Salary,Full time,Process Engineering (Engineering),2.9,"Medical
Miscellaneous allowance
Parking
FREE MEAL Daily",51-100 employees,"Manufacturing, Transport & Logistics","Bayan Lepas, Penang"
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,BI Developer,"RM5,000",Full time,Business/Systems Analysts (Information & Communication Technology),4.9,"Medical
Miscellaneous allowance
Dental",51-100 employees,Human Resources & Recruitment,Kuala Lumpur
Agensi Pekerjaan Randstad Sdn Bhd - Professional,Project Manager (Industrial Project - Civil),$13k - $18k p.m.,Full time,Project Management (Construction),4.3,No info for Company Benefits,51-100 employees,Services,Kuala Lumpur
Celestica,IE Manager (People Manager),No info for Job Salary,Full time,"Analysis & Reporting (Manufacturing, Transport & Logistics)",4.2,"Medical
Dental
Parking","1,001-5,000 employees","Manufacturing, Transport & Logistics","Kulim, Kedah"
AG Staffing Malaysia,Production Tooling&Planning/Product/Process Managers (Aviation MRO) PJ/ShahAlam,"RM 10,000 - RM 15,000 per month",Full time,Aerospace Engineering (Engineering),No info for Company Review,No info for Company Benefits,11-50 employees,Human Resources & Recruitment,Selangor
Agensi Pekerjaan Pasona Sdn Bhd,SALES MANAGER (REF: DL),"RM 8,500 - RM 12,000 per month",Full time,Management (Sales),4.3,"Medical
Dental
Parking",11-50 employees,Human Resources & Recruitment,"Petaling Jaya, Selangor"
Molnlycke Health Care Sdn Bhd,Assistant Security Manager cum Fire Safety Manager,No info for Job Salary,Full time,Security Services (Trades & Services),4.5,"Medical
Miscellaneous allowance
Quarterly + Annual Bonuses","1,001-5,000 employees","Manufacturing, Transport & Logistics","Kulim Hi-Tech Park, Kedah"
VANTAGE DATA CENTERS MALAYSIA SDN. BHD.,"Manager Chief Engineer, Malaysia",No info for Job Salary,Full time,Maintenance (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Cyberjaya, Selangor"
OffGamers Sdn. Bhd,Senior Data Engineer (Data & Analysis),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Dental",51-100 employees,Computer Software & Networking,Kuala Lumpur
DCConnect Global,Field Service Engineer (Johor),No info for Job Salary,Full time,Field Engineering (Engineering),3,Medical,51-100 employees,Computer Software & Networking,"Johor Bahru, Johor"
Deloitte,Innovation & Cloud Development Centre (ICDC) - Technology Analyst - MY,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),3.9,Medical,51-100 employees,Accounting & Auditing,Kuala Lumpur
Hytech Consulting Management Sdn Bhd,Business Intelligence Analyst,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),3.2,"Medical
Dental
Staff Hospitalisation Insurance, Birthday gift & c","101-1,000 employees",Computer Software & Networking,"KL Eco City, Kuala Lumpur"
SIA Engineering Company Ltd,Senior Executive (Performance and Reporting) (BMM),No info for Job Salary,Full time,Financial Accounting & Reporting (Accounting),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Subang Jaya, Selangor"
Western Digital,"Technician 3, Engineering",No info for Job Salary,Full time,Process Engineering (Engineering),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
QES GROUP OF COMPANIES,Internship for Electrical / Mechanical Engineering Student,No info for Job Salary,Contract/Temp,Electrical/Electronic Engineering (Engineering),4.2,"Medical
Miscellaneous allowance
Dental
Parking
Annual Medical Check-up Subsidy,Long Service Award","101-1,000 employees",Consumer Electronics Manufacturing,"Shah Alam/Subang, Selangor"
AtkinsRealis,Civil & Structural Manager,No info for Job Salary,Contract/Temp,Civil/Structural Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Terrabit Consulting Sdn Bhd,Senior IT Recruiter,No info for Job Salary,Full time,Recruitment - Agency (Human Resources & Recruitment),3,"Medical
Miscellaneous allowance
Loans
Parking","101-1,000 employees",Information & Communication Technology,"Kuala Lumpur Sentral, Kuala Lumpur"
Celestica,"08 - Lead Engineer, Systems/Applications Design",No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.2,"Medical
Dental
Parking","1,001-5,000 employees","Manufacturing, Transport & Logistics",Penang
Celestica,"CPLD, Lead Engineer",No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.2,"Medical
Dental
Parking","1,001-5,000 employees","Manufacturing, Transport & Logistics",Penang
MICRON MEMORY MALAYSIA SDN. BHD.,Data Services Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),3.8,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision
Training","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
Entegris (Malaysia) Sdn Bhd,Engineering Manager,No info for Job Salary,Full time,Other (Engineering),4.1,"Medical
Miscellaneous allowance
Education support
Dental
Parking
Vision
Attractive Bonus, Profit Sharing, Healthy Working","1,001-5,000 employees",Chemicals & Plastics Manufacturing,"Kulim Hi-Tech Park, Kedah"
Agensi Pekerjaan Randstad Sdn Bhd - Professional,Mechanical Engineer - Datacenter (construction),"RM 5,000 - RM 7,000",Full time,Project Management (Construction),4.3,No info for Company Benefits,51-100 employees,Services,Kuala Lumpur
Agensi Pekerjaan Randstad Sdn Bhd - Professional,Electrical Engineer - Datecenter (construction),"RM 5,000 - RM 7,000",Full time,Project Management (Construction),4.3,No info for Company Benefits,51-100 employees,Services,Kuala Lumpur
Powerware Systems Sdn Bhd,Technical Engineer,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4,"Medical
Dental
Parking
Regional Exposure",51-100 employees,Consulting Services,"Petaling Jaya, Selangor"
MILA UNIVERSITY,Senior Lecturer/Associate Professor - Computer Science,No info for Job Salary,Contract/Temp,Teaching - Tertiary (Education & Training),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Nilai, Negeri Sembilan"
IFP Engineering Solutions Sdn Bhd.,Senior Instrument Engineer,No info for Job Salary,Contract/Temp,Electrical/Electronic Engineering (Engineering),4,"Medical
Miscellaneous allowance",11-50 employees,Oil & Gas Extraction & Refinement,"Shah Alam, Selangor"
UWC Holdings Sdn Bhd,Application Support (Supply Chain / AI),No info for Job Salary,Full time,Help Desk & IT Support (Information & Communication Technology),3.7,"Medical
Miscellaneous allowance
Education support
Sports (e.g. Gym)
Parking
Free shares to employees","1,001-5,000 employees","Manufacturing, Transport & Logistics","Batu Kawan, Penang"
